Percentiles,test,t
0.05167717591397133,B 10G,28700
0.05194372485485577,B 10G,28800
0.05217695517812966,B 10G,28900
0.052451833773416744,B 10G,29000
0.05268506409669063,B 10G,29100
0.05291829441996451,B 10G,29200
0.05318484336084896,B 10G,29300
0.053443062647330765,B 10G,29400
0.05367629297060465,B 10G,29500
0.05393451225708645,B 10G,29600
0.0541594129259577,B 10G,29700
0.054417632212439504,B 10G,29800
0.05468418115332395,B 10G,29900
0.05491741147659784,B 10G,30000
0.05517563076307964,B 10G,30100
0.05541719074075616,B 10G,30200
0.05566708037283533,B 10G,30300
0.05593362931371977,B 10G,30400
0.05615852998259102,B 10G,30500
0.056425078923475466,B 10G,30600
0.05667496855555463,B 10G,30700
0.05689153957002324,B 10G,30800
0.05715808851090768,B 10G,30900
0.057424637451792125,B 10G,31000
0.057649538120663375,B 10G,31100
0.0578910980983399,B 10G,31200
0.0581493173848217,B 10G,31300
0.05839920701690087,B 10G,31400
0.0586407669945774,B 10G,31500
0.058907315935461835,B 10G,31600
0.05914887591313837,B 10G,31700
0.059415424854022805,B 10G,31800
0.05964865517729669,B 10G,31900
0.05989021515497322,B 10G,32000
0.06014010478705239,B 10G,32100
0.06038999441913155,B 10G,32200
0.06063155439680808,B 10G,32300
0.0608731143744846,B 10G,32400
0.061123004006563765,B 10G,32500
0.06136456398424029,B 10G,32600
0.06161445361631946,B 10G,32700
0.06186434324839862,B 10G,32800
0.06209757357167251,B 10G,32900
0.06238078182136223,B 10G,33000
0.06260568249023347,B 10G,33100
0.06286390177671529,B 10G,33200
0.06309713209998917,B 10G,33300
0.06336368104087362,B 10G,33400
0.06363022998175806,B 10G,33500
0.06385513065062931,B 10G,33600
0.06408003131950056,B 10G,33700
0.06435490991478764,B 10G,33800
0.0646047995468668,B 10G,33900
0.06487967814215388,B 10G,34000
0.06509624915662249,B 10G,34100
0.06533780913429901,B 10G,34200
0.06559602842078083,B 10G,34300
0.06584591805285998,B 10G,34400
0.06608747803053651,B 10G,34500
0.06633736766261568,B 10G,34600
0.06658725729469485,B 10G,34700
0.06686213588998192,B 10G,34800
0.0670703772500479,B 10G,34900
0.06735358549973762,B 10G,35000
0.06757848616860887,B 10G,35100
0.06786169441829859,B 10G,35200
0.06806993577836455,B 10G,35300
0.06832815506484637,B 10G,35400
0.06857804469692552,B 10G,35500
0.06881960467460205,B 10G,35600
0.06905283499787594,B 10G,35700
0.06933604324756566,B 10G,35800
0.06956094391643691,B 10G,35900
0.06982749285732134,B 10G,36000
0.07006072318059524,B 10G,36100
0.07032727212147968,B 10G,36200
0.07056050244475356,B 10G,36300
0.07081872173123537,B 10G,36400
0.07104362240010662,B 10G,36500
0.07132683064979634,B 10G,36600
0.07154340166426496,B 10G,36700
0.07180995060514939,B 10G,36800
0.07205984023722856,B 10G,36900
0.07229307056050245,B 10G,37000
0.07255961950138688,B 10G,37100
0.07282616844227133,B 10G,37200
0.07305939876554522,B 10G,37300
0.07328429943441647,B 10G,37400
0.07354251872089827,B 10G,37500
0.07379240835297743,B 10G,37600
0.07405062763945924,B 10G,37700
0.07428385796273312,B 10G,37800
0.07451708828600702,B 10G,37900
0.07478363722689145,B 10G,38000
0.07502519720456799,B 10G,38100
0.07528341649104979,B 10G,38200
0.07552497646872632,B 10G,38300
0.07577486610080547,B 10G,38400
0.07600809642407937,B 10G,38500
